antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Bag of Organic Bananas,100% Raw Coconut Water,0.16610344503895616,0.016239556932319533,0.0034732000375481084,0.020909861542808703,1.2875881792805846,1.0,0.0007757536851835715,1.0047700456036137,0.2678439682435856,0.019417475728155338,0.004747400287742474,0.11739134695637546
100% Raw Coconut Water,Bag of Organic Bananas,0.016239556932319533,0.16610344503895616,0.0034732000375481084,0.2138728323699422,1.2875881792805846,1.0,0.0007757536851835715,1.0607654706489749,0.2270412110583867,0.019417475728155338,0.05728454812146049,0.11739134695637546
100% Raw Coconut Water,Banana,0.016239556932319533,0.20707781845489534,0.002018210832629306,0.12427745664739884,0.6001485701109428,1.0,-0.0013446411895894953,0.9054490917973802,-0.40378679530110334,0.009119830328738069,-0.10442432275781464,0.06701180175978283
100% Raw Coconut Water,Organic Baby Spinach,0.016239556932319533,0.10452454707594105,0.0023936919177696423,0.14739884393063585,1.4101840003529984,1.0,0.0006962595847049844,1.0502864634295743,0.2956743002544529,0.02022204599524187,0.047878807525872806,0.08514980364470723
Organic Baby Spinach,100% Raw Coconut Water,0.10452454707594105,0.016239556932319533,0.0023936919177696423,0.022900763358778622,1.4101840003529982,1.0,0.0006962595847049844,1.0068173284520794,0.32482485105788217,0.02022204599524187,0.006771167181399683,0.08514980364470723
Organic Hass Avocado,100% Raw Coconut Water,0.0930723739791608,0.016239556932319533,0.0026753027316248944,0.028744326777609686,1.7700191512247168,1.0,0.0011638486155641776,1.0128748487036399,0.47967924780122956,0.025088028169014086,0.0127111940039958,0.09674210558533665
100% Raw Coconut Water,Organic Hass Avocado,0.016239556932319533,0.0930723739791608,0.0026753027316248944,0.1647398843930636,1.7700191512247168,1.0,0.0011638486155641776,1.0858026249246033,0.44221574929690644,0.025088028169014086,0.07902230382852629,0.09674210558533665
Organic Strawberries,100% Raw Coconut Water,0.11090772552332676,0.016239556932319533,0.002018210832629306,0.01819720694033009,1.12054824008865,1.0,0.0002171185097591731,1.0019939340383315,0.12099947332818536,0.016129032258064516,0.0019899661770359208,0.07123733179386446
100% Raw Coconut Water,Organic Strawberries,0.016239556932319533,0.11090772552332676,0.002018210832629306,0.12427745664739884,1.12054824008865,1.0,0.0002171185097591731,1.0152670857060362,0.10935558317060186,0.016129032258064516,0.01503750680090164,0.07123733179386446
Bag of Organic Bananas,100% Whole Wheat Bread,0.16610344503895616,0.026518351638036234,0.0046465784286116585,0.02797400395591975,1.0548922624510197,1.0,0.00024178886477939365,1.001497544637497,0.06240089872667114,0.024719101123595506,0.0014953053509872331,0.10159762144698642
