transaction_id,item_id,item_name
3109255,34099,Crushed Red Chili Pepper
301098,41950,Organic Tomato Cluster
1181866,45066,Honeycrisp Apple
1678630,8859,Natural Spring Water
644090,24781,"PODS Laundry Detergent, Ocean Mist Designed for Regular and HE Washers Laundry"
557169,11440,Chicken Breast Tenders Breaded
737337,13176,Bag of Organic Bananas
1389978,12033,Raspberries Dark Chocolate Bar
443457,19190,Curved Panty Liners
1649178,30169,Total 2% All Natural Plain Greek Yogurt
2200652,38890,No Pulp Calcium & Vitamin D Pure Premium 100% Pure Orange Juice
1149773,39561,Crackers Cheddar Bunnies Snack Packs
2196443,47011,Organic Ginger Limeade Fruit Juice Drink
825525,42615,Dark Chocolate With Sea Salt & Almonds
1152463,31555,Organic Light in Sodium Lentil Vegetable Soup
1017343,47196,Snack Pack Classic Original Hommus With Chips
2672875,4605,Yellow Onions
1893069,6187,Raisin Bran Cereal
1411821,37220,Organic Strawberry Fruit Spread
1398417,22802,Mineral Water
2178421,27454,Organic Mini Sandwich Crackers Cheddar Cheese
357043,36431,Hardwood Smoked Bacon
3013261,32684,Grade A Organic Large Brown Eggs
2262426,16797,Strawberries
627333,6873,Organic Iceberg Lettuce
2942867,13515,French Lavender Bath & Shower Gel
739587,45854,Garbanzos Chick Peas
2694757,23909,2% Reduced Fat Milk
3268636,19057,Organic Large Extra Fancy Fuji Apple
2218827,39928,Organic Kiwi
820578,2086,Sustainably Soft Bath Tissue
1881664,47626,Large Lemon
693424,23452,100% Carrot Juice
18254,35921,Organic Large Grade A Brown Eggs
452168,48775,Organic Red Cabbage
2693281,23400,Organic Premium Tomato Paste
775615,258,Vegetable Pot Pie
2682376,48857,Authentic French Brioche
1720496,27845,Organic Whole Milk
2369662,19678,Organic Russet Potato
2715127,43504,Organic Chicken Strips
1793502,7228,Organic Italian Dressing
101436,24852,Banana
2209160,44449,Organic Tomato Sauce
2298282,9472,Organic Red Cherry Tomato
1475624,27925,Organic Red Bartlett Pear
366058,24746,Kickstart Energizing Orange Citrus Sparkling Juice Beverage
2105193,10132,Organic American Cheese Singles
2572049,29256,Organic Udon Japanese Wheat Noodles
1600484,16797,Strawberries
255571,41950,Organic Tomato Cluster
359657,43789,Organic Basil
